,dispersion ratio,generate level,solar elevation,predict
55后封11,0.241,0.693333,29.10128,1.0
55后封12,0.089,0.461648,31.45183,0.0
55后封13,0.239,0.788835,30.43291,1.0
55后封14,0.28,0.837535,26.20838,1.0
55后封15,0.235,0.830827,19.36153,1.0
56小冯8,0.705,0.93007,6.672896,1.0
56小冯9,0.316,0.44235,16.04612,1.0
56小冯10,0.195,0.611602,23.7448,1.0
56小冯11,0.044,0.773818,29.10128,0.0
56小冯12,0.018,0.515238,31.45183,0.0
56小冯13,0.105,0.909753,30.43291,0.0
56小冯14,0.04,0.982175,26.20838,0.0
56小冯15,0.417,1.0,19.36153,1.0
57小仁岸8,0.145,0.941392,6.672896,0.0
57小仁岸9,0.023,0.89547,16.04612,0.0
57小仁岸10,0.012,1.0,23.7448,0.0
57小仁岸11,0.016,0.913778,29.10128,0.0
57小仁岸12,0.038,0.52151,31.45183,0.0
57小仁岸13,0.189,0.831715,30.43291,1.0
57小仁岸14,0.29,0.822729,26.20838,1.0
57小仁岸15,0.123,0.736126,19.36153,1.0
58寨子8,0.575,0.93007,6.672896,1.0
58寨子9,0.201,0.44235,16.04612,1.0
58寨子10,0.022,0.799788,23.7448,0.0
58寨子11,0.017,0.93503,29.10128,0.0
58寨子12,0.016,0.566761,31.45183,0.0
58寨子13,0.032,0.968447,30.43291,0.0
58寨子14,0.19,0.982175,26.20838,1.0
58寨子15,0.284,1.0,19.36153,1.0
59桑皮赵8,0.283,0.974359,6.672896,1.0
59桑皮赵9,0.02,0.926829,16.04612,0.0
59桑皮赵10,0.019,0.985733,23.7448,0.0
59桑皮赵11,0.036,0.945778,29.10128,0.0
59桑皮赵12,0.023,0.539773,31.45183,0.0
59桑皮赵13,0.028,0.953074,30.43291,0.0
59桑皮赵14,0.076,0.993464,26.20838,0.0
59桑皮赵15,0.087,1.0,19.36153,0.0
60谢庄8,0.282,1.0,6.672896,1.0
60谢庄9,0.285,0.784314,16.04612,1.0
60谢庄10,0.228,0.822785,23.7448,1.0
60谢庄11,0.193,0.878661,29.10128,1.0
60谢庄12,0.205,0.880282,31.45183,1.0
60谢庄13,0.168,0.950704,30.43291,1.0
60谢庄14,0.166,0.931174,26.20838,1.0
60谢庄15,0.106,0.883978,19.36153,0.0
61西池8,0.194,0.952632,6.672896,1.0
61西池9,0.079,0.933953,16.04612,0.0
61西池10,0.047,0.904397,23.7448,0.0
61西池11,0.075,0.996477,29.10128,0.0
61西池12,0.094,0.972758,31.45183,0.0
61西池13,0.134,0.939214,30.43291,1.0
61西池14,0.091,0.964202,26.20838,0.0
61西池15,0.223,1.0,19.36153,1.0
62王山头村8,0.343,0.952632,6.672896,1.0
62王山头村9,0.288,0.747162,16.04612,1.0
62王山头村10,0.034,0.783811,23.7448,0.0
